Year,Australia,Brazil,Canada,France,India,Indonesia,Iran,Japan,Mexico,Nigeria,Russia,Pakistan,South Africa,South Korea,Turkey,United States
1960,18.61,17.03,40.46,62.23,37.03,0.00,4.20,44.31,13.04,4.20,0.00,3.75,8.75,3.96,13.98,543.30
1961,19.68,17.28,40.93,67.46,39.23,0.00,4.43,53.51,14.16,4.47,0.00,4.12,9.23,2.42,7.99,563.30
1962,19.92,19.23,42.23,75.61,42.16,0.00,4.69,60.72,15.20,4.91,0.00,4.31,9.81,2.81,8.92,605.10
1963,21.54,23.29,45.03,84.76,48.42,0.00,4.93,69.50,16.96,5.17,0.00,4.63,10.85,3.99,10.36,638.60
1964,23.80,20.96,49.38,94.01,56.48,0.00,5.38,81.75,20.08,5.55,0.00,5.20,11.96,3.46,11.18,685.80
1965,25.97,22.47,54.52,101.54,59.55,0.00,6.20,90.95,21.84,5.87,0.00,5.93,13.07,3.12,11.97,743.70
1966,27.31,28.28,61.09,110.05,45.87,0.00,6.79,105.63,24.32,6.37,0.00,6.56,14.21,3.93,14.10,815.00
1967,30.44,31.09,65.67,118.97,50.13,5.67,7.56,123.78,26.56,5.20,0.00,7.46,15.82,4.86,15.64,861.70
1968,32.71,33.93,71.83,129.79,53.09,7.08,8.62,146.60,29.36,5.20,0.00,8.04,17.12,6.12,17.50,942.50
1969,36.68,37.17,79.15,141.90,58.45,8.34,9.74,172.20,32.48,6.63,0.00,8.68,19.26,7.68,19.47,1019.90
1970,41.33,42.33,87.90,148.46,62.42,9.15,10.98,212.61,35.52,12.55,0.00,10.03,21.22,9.01,17.09,1073.30
1971,45.21,48.87,99.27,165.97,67.35,9.33,13.73,240.15,39.20,9.18,0.00,10.67,23.41,9.90,16.28,1164.85
1972,52.04,58.43,113.08,203.49,71.46,11.00,17.15,318.03,45.20,12.27,0.00,9.42,24.52,10.86,20.36,1279.11
1973,63.83,83.59,131.32,264.43,85.52,16.27,27.08,432.08,55.28,15.16,0.00,6.38,33.26,13.88,25.63,1425.38
1974,88.96,109.79,160.41,285.55,99.53,25.80,46.21,479.63,72.00,24.85,0.00,8.90,41.39,19.54,35.67,1545.24
1975,97.30,129.20,173.83,360.83,98.47,30.46,51.78,521.54,88.00,27.78,0.00,11.23,42.91,21.78,44.76,1684.90
1976,105.07,153.17,206.58,372.32,102.72,37.27,68.06,586.16,89.03,36.31,0.00,13.17,41.15,29.90,51.13,1873.41
1977,110.35,176.34,211.61,410.28,121.49,45.81,80.60,721.41,81.81,36.04,0.00,15.13,45.33,38.45,58.68,2081.83
1978,118.50,200.28,218.63,506.71,137.30,51.46,77.99,1013.61,102.50,36.53,0.00,17.81,51.61,51.97,65.10,2351.60
1979,134.90,221.34,243.07,613.95,152.99,51.40,90.39,1055.01,134.56,47.26,0.00,19.69,63.04,66.95,89.33,2627.33
1980,149.98,237.39,273.85,701.29,186.33,72.48,94.36,1105.39,205.14,64.20,0.00,23.65,89.41,65.40,68.82,2857.31
1981,176.89,258.02,306.21,615.55,193.49,85.52,100.50,1218.99,263.96,164.48,0.00,28.10,93.14,72.93,71.04,3207.04
1982,194.04,271.31,313.51,584.88,200.72,90.16,125.95,1134.52,184.61,142.77,0.00,30.73,85.90,78.36,64.55,3343.79
1983,177.27,189.66,340.55,559.87,218.26,81.05,156.37,1243.32,156.16,97.09,0.00,28.69,96.20,87.76,61.68,3634.04
1984,193.52,188.34,355.37,530.68,212.16,84.85,162.28,1318.38,184.26,73.48,0.00,31.15,84.87,97.51,59.99,4037.61
1985,180.63,176.12,364.76,553.14,232.51,85.29,180.18,1398.89,195.22,73.75,0.00,31.14,64.46,101.30,67.23,4338.98
1986,182.47,215.88,377.44,771.47,248.99,79.95,209.09,2078.95,134.55,54.81,0.00,31.90,73.35,116.84,75.73,4579.63
1987,189.49,237.52,431.32,934.17,279.03,75.93,134.01,2532.81,147.54,52.68,0.00,33.35,96.54,147.95,87.17,4855.22
